dispositif_id,origin_id
6a67651521ce6b22f0122793,carif-oref--24_1611748
6a6774df21ce6b22f0122ac3,carif-oref--24_1613751
6a67855821ce6b22f0122da0,carif-oref--24_1567316
6a6883a68e81b7a1a41082f8,carif-oref--24_1567060
6a68ae9a8e81b7a1a4108a34,carif-oref--21_281843
6a68b76f8e81b7a1a4108bfb,carif-oref--24_1611740
6a68d162aed5ab14ef0be90e,carif-oref--14_SE_0001901814
6a68d3d6aed5ab14ef0be960,carif-oref--14_SE_0001901830
6a68d6e9aed5ab14ef0bea35,carif-oref--14_SE_0001599640
6a6b037bec9746c6025f4f60,carif-oref--21_281705
6a6b1464ec9746c6025f52af,carif-oref--21_281653
6a6b146cec9746c6025f52b3,carif-oref--10_379869S
6a6b28aaec9746c6025f569d,carif-oref--21_281716
6a6b2d68ec9746c6025f575f,carif-oref--21_281703
6a6b4211ec9746c6025f5b44,carif-oref--21_281041
6a6b4743ec9746c6025f5c4e,carif-oref--01_GE2049739
6a6b48e9ec9746c6025f5ca6,carif-oref--21_281454
6a6b4df3ec9746c6025f5dff,carif-oref--21_282005
6a6b5238ec9746c6025f5ec8,carif-oref--21_275539
6a6b5597ec9746c6025f5f73,carif-oref--21_281321
6a6b58c925f76d42598c0beb,carif-oref--21_281869
6a6b5bf125f76d42598c0e68,carif-oref--21_281929
6a6b5f7b25f76d42598c0f23,carif-oref--21_282065
6a6cbb5925f76d42598c3aed,carif-oref--01_GE1996147
6a7057fdfbaca57fe36dc0c6,carif-oref--21_282061
6a7067f9fbaca57fe36dc422,carif-oref--21_280346
6a708886fbaca57fe36dca82,carif-oref--21_280817
6a70ab05f83eddcddff0cf1a,carif-oref--21_281577
6a70afb0f83eddcddff0d01b,carif-oref--21_280552
6a70b634f83eddcddff0d120,carif-oref--21_281040
6a70c069f83eddcddff0d2dd,carif-oref--21_282089
6a71abd926b69da8654911c3,carif-oref--21_281636
6a71b65c26b69da86549140a,carif-oref--21_281278
6a71e7cb26b69da865491cbb,carif-oref--21_281796
6a71f0ba26b69da865491e52,carif-oref--21_281576
6a71fce826b69da86549203c,carif-oref--21_281472
6a720b6d26b69da865492267,carif-oref--21_281455
6a72fceaa3d027b480171e31,carif-oref--21_281618
6a732bd8b7a24060d262403b,carif-oref--21_280725
6a7336f8b7a24060d26242aa,carif-oref--21_280053
6a73457bb7a24060d2624587,carif-oref--21_282783
6a735297b7a24060d26247be,carif-oref--21_281865
6a7490a41fb04999b5bf9f6a,carif-oref--21_281930
6a74b0021fb04999b5bfa63c,carif-oref--10_396690S
6a74b51f1fb04999b5bfa714,carif-oref--10_396594S
6a79905fd8c216efe3527f24,carif-oref--21_283285
6a799712d8c216efe3528074,carif-oref--10_396672S
6a79a2dbd8c216efe35282f6,carif-oref--10_396603S
6a7ae3418f7b807e4f23ef18,carif-oref--21_281715
6a7c2df68f7b807e4f2444d2,carif-oref--21_282117
6a7dc647cef19fd9ce9a11a1,carif-oref--21_282150
6a7dde9dcef19fd9ce9a14f4,carif-oref--07_223865
6a8469a156f4dc3f06fd6ce9,carif-oref--14_SE_0001753887
6a84871f56f4dc3f06fd725e,carif-oref--10_396674S
6a856580d3011ce90af38a85,carif-oref--21_281319
6aa8353ddbe605d2ea9d1592,carif-oref--01_GE2064863
6aa83549dbe605d2ea9d1596,carif-oref--01_GE2064854
6aa91ce77ff1abb0e4465b36,carif-oref--21_284269
6aa9446971813158298e5317,carif-oref--14_SE_0001755554
6aa969a471813158298e550b,carif-oref--14_SE_0001755555
6aaac82914f1c22ac0b96698,carif-oref--01_GE2161110
6aabdf02e925fb2396ea3269,carif-oref--21_284003
6aabf5fbe925fb2396ea3c56,carif-oref--21_283960
6aac1140e925fb2396ea41de,carif-oref--01_GE2148709
6ab144cd0bb6975686bbdee6,carif-oref--10_396692S
6ab1742fce7b9f18acc0fae8,carif-oref--06_2066756S
6ab17a0ece7b9f18acc0fb65,carif-oref--06_2353075S
